Date,Power
"2019-11-07T07:32:10.810Z","0.14"
"2019-11-07T07:32:36.306Z","0.24"
"2019-11-08T06:53:12.421Z","0.24"
"2019-11-08T06:53:18.251Z","0.04"
"2019-11-08T06:53:43.339Z","0.13"
"2019-11-08T06:54:12.200Z","0.24"
"2019-11-08T06:54:51.213Z","0.38"
"2019-11-08T06:55:51.422Z","0.55"
"2019-11-08T06:56:40.888Z","0.75"
"2019-11-08T06:57:12.836Z","1.00"
"2019-11-08T06:57:50.005Z","1.29"
"2019-11-08T06:58:19.090Z","1.59"
"2019-11-08T06:58:44.282Z","1.92"
"2019-11-08T06:59:09.268Z","2.25"
"2019-11-08T06:59:36.813Z","2.25"
"2019-11-08T07:00:01.674Z","2.25"
"2019-11-08T07:00:31.516Z","2.25"
"2019-11-08T07:00:56.881Z","2.25"
"2019-11-08T07:01:21.772Z","2.25"
"2019-11-08T07:01:47.065Z","2.25"
"2019-11-08T07:02:12.152Z","2.25"
"2019-11-08T07:02:37.035Z","2.25"
"2019-11-08T07:03:02.325Z","2.25"
"2019-11-08T07:03:27.617Z","2.25"
"2019-11-08T07:03:53.217Z","2.25"
"2019-11-08T07:04:18.100Z","2.25"
"2019-11-08T07:04:43.393Z","2.25"
"2019-11-08T07:05:08.373Z","2.25"
"2019-11-08T07:05:36.740Z","2.25"
"2019-11-08T07:05:58.651Z","2.25"
"2019-11-08T07:06:24.257Z","2.25"
"2019-11-08T07:06:49.857Z","2.25"
"2019-11-08T07:07:14.023Z","2.25"
"2019-11-08T07:07:39.041Z","2.25"
"2019-11-08T07:08:04.410Z","2.25"
"2019-11-08T07:08:29.601Z","2.25"
"2019-11-08T07:08:54.894Z","2.25"
"2019-11-08T07:09:20.802Z","2.25"
"2019-11-21T08:11:01.058Z","2.25"
"2019-11-21T08:16:36.705Z","2.25"
"2019-11-21T08:16:36.710Z","2.25"
